Vehicle ID,Latitude,Longitude,Direction,Wrong side
veh229,551.0369258,2052.526918,41.47945117,TRUE
veh230,61.28419279,212.6647431,167.7957415,TRUE
veh231,16.74158744,649.2798655,187.2482297,TRUE
veh232,766.5332456,2406.483468,204.803899,TRUE
veh233,1089.26,3553.413613,193.0491175,TRUE
veh234,66.40117685,189.0062678,167.7957415,TRUE
veh235,1281.324804,4253.550961,16.31735228,TRUE
veh236,13.40811203,623.2447849,187.3424809,TRUE
veh237,754.4696452,2380.38011,204.803899,TRUE
veh238,173.1730939,1520.108591,20.01166748,TRUE
veh239,1462.429073,5388.761667,354.9088282,TRUE
veh240,71.48219837,165.5140659,167.7957415,TRUE
veh241,11.79476017,597.2446485,183.0067355,TRUE
veh242,231.8245242,1632.082872,206.4769813,TRUE
veh243,602.9023833,2117.66851,36.46439094,TRUE
veh244,183.2830006,1547.867742,20.01166748,TRUE
veh245,76.49531743,141.4237736,168.2943154,TRUE
veh246,1297.308018,4308.173461,16.23507251,TRUE
veh247,10.41399135,570.9571379,183.0067355,TRUE
veh248,731.6529732,2329.022443,203.9219872,TRUE
veh249,81.36457804,117.9227456,168.2943154,TRUE
veh250,11.12414463,545.2871972,178.2966023,TRUE
veh251,206.4476281,1578.367014,203.7898778,TRUE
veh252,206.9648087,1601.745662,24.5607302,TRUE
veh253,85.92018422,94.19576436,170.3492912,TRUE
veh254,11.91018981,518.8554357,178.2966023,TRUE
veh255,194.2184943,1550.625896,203.7866971,TRUE
veh256,650.1534254,2188.383611,29.47922706,TRUE
veh257,708.4505509,2277.148989,205.9276104,TRUE
veh258,1447.446141,5508.628136,352.0140647,TRUE
veh259,89.94198616,70.54476036,170.3492912,TRUE
veh260,1320.767026,4389.74118,16.04532136,TRUE
veh261,13.40647249,492.5551687,174.6501111,TRUE
veh262,696.0511021,2251.795502,206.0615397,TRUE
veh263,1357.734256,5915.463164,347.4234167,TRUE
veh264,93.95590099,46.94013803,170.3492912,TRUE
veh265,15.78752172,467.1289645,174.6501111,TRUE
veh266,678.1693643,2238.540993,28.83538808,TRUE
veh267,683.2194581,2227.131149,209.2616917,TRUE
veh268,97.14956566,23.01033746,172.7716779,TRUE
veh269,1336.458479,4443.867005,16.39102276,TRUE
veh270,18.22098977,441.1430021,174.6501111,TRUE
veh271,669.2855909,2202.262344,209.2616917,TRUE
veh272,21.46318547,414.7908591,170.7535408,TRUE
veh273,157.6358042,1439.383761,195.7789588,TRUE
veh274,702.7497143,2287.9151,24.66351831,TRUE
veh275,655.3282285,2178.336056,211.7502539,TRUE
veh276,275.0983914,1732.869485,31.59680235,TRUE
veh277,25.73507124,388.5502755,170.7535408,TRUE
veh278,714.5497687,2313.750489,24.11442675,TRUE
veh279,290.926108,1757.3703,34.23159941,TRUE
veh280,1334.110698,6018.522435,347.0701223,TRUE
veh281,30.60781354,363.5641957,168.9626244,TRUE
veh282,726.2108696,2339.801606,24.11442675,TRUE
veh283,1368.265015,4551.484695,16.6651604,TRUE
veh284,35.46789315,338.6393993,168.9815801,TRUE
veh285,140.323958,1351.914038,190.3782064,TRUE
veh286,1405.487771,5712.509955,347.0591892,TRUE
veh287,40.50812122,312.7506227,168.9830264,TRUE
veh288,749.8941247,2392.271208,24.50086534,TRUE
veh289,344.8102501,1828.011067,41.99039589,TRUE
veh290,45.53703337,286.9199694,168.9830264,TRUE
veh291,1309.02732,6121.133949,346.2512861,TRUE
veh292,50.71856221,261.5151417,167.7957415,TRUE
veh293,554.2025375,2042.392107,218.941867,TRUE
veh294,384.2834257,1871.865251,41.99039589,TRUE
veh295,977.9374142,2976.789657,193.4303846,FALSE
veh296,1123.142649,3669.781927,195.2454026,FALSE
veh297,71.63911037,115.8803301,350.1932857,FALSE
veh298,641.8177509,2150.59539,212.8589322,FALSE
veh299,1115.465666,3641.614172,195.2454026,FALSE
veh300,65.76028464,143.5859295,347.7750299,FALSE
veh301,964.9427436,2923.838822,194.0484949,FALSE
veh302,958.2389264,2897.047901,194.0484949,FALSE
veh303,1099.944145,3584.605185,195.2137654,FALSE
veh304,50.73003368,197.8563533,347.7767597,FALSE
veh305,191.7940145,1575.593198,23.56410332,FALSE
veh306,951.6122649,2870.565323,194.0484949,FALSE
veh307,1093.077787,3555.699999,193.0013145,FALSE
veh308,44.69520884,225.7138133,347.7767597,FALSE
veh309,38.8611786,252.6443818,347.7767597,FALSE
veh310,936.2451952,2817.656143,197.0416709,FALSE
veh311,1080.500028,3498.820912,190.8250814,FALSE
veh312,33.03588146,279.5346373,347.7767597,FALSE
veh313,27.39994568,306.4173505,348.9183364,FALSE
veh314,919.394526,2765.263707,198.9999354,FALSE
veh315,1069.674046,3442.203788,190.8250814,FALSE
veh316,21.99127795,334.0323369,348.9183364,FALSE
veh317,1064.246528,3413.819257,190.8250814,FALSE
veh318,16.51314524,362.006758,348.9246927,FALSE
veh319,1058.793278,3385.300153,190.8250814,FALSE
veh320,11.18526737,389.2252645,348.9246927,FALSE
veh321,890.9615768,2687.650245,201.492786,FALSE
veh322,7.698407339,417.0295436,353.6449442,FALSE
veh323,881.1165648,2662.647995,201.492786,FALSE
veh324,1047.500244,3326.240464,190.8250814,FALSE
veh325,4.556366465,445.2412265,353.6449442,FALSE
veh326,418.9423864,1888.931415,222.4843583,FALSE
veh327,299.4446955,1775.580531,34.22510015,FALSE
veh328,871.2670383,2637.63428,201.492786,FALSE
veh329,1.787874647,472.8361886,356.0967641,FALSE
veh330,1036.504713,3268.736647,190.8250814,FALSE
veh331,330.0900191,1816.282644,37.23445208,FALSE
veh332,851.0858369,2587.841923,202.2242169,FALSE
veh333,830.4049166,2537.226039,202.2242169,FALSE
veh334,1019.843226,3181.60132,190.8250814,FALSE
veh335,325.6383092,1779.241827,219.3046117,FALSE
veh336,818.9402596,2512.248644,204.8027062,FALSE
veh337,1014.274134,3152.476394,190.8250814,FALSE
veh338,0.500397596,610.9981828,1.359437401,FALSE
veh339,807.4096479,2487.297209,204.8027062,FALSE
veh340,1.520316825,639.1842163,2.852235581,FALSE
veh341,1003.373643,3094.577395,190.6054784,FALSE
veh342,4.116389616,667.1811445,5.350710033,FALSE
veh343,997.8662811,3065.164622,190.6054784,FALSE
veh344,7.477965413,694.3070536,8.942985759,FALSE
veh345,772.7249333,2412.255747,204.8092982,FALSE
veh346,992.0679057,3035.964036,193.4303846,FALSE
veh347,11.77177423,721.5927971,8.942985759,FALSE
veh348,248.1296062,1657.346272,210.1771177,FALSE
veh349,467.4446687,1963.818864,42.09054888,FALSE
veh350,761.4504921,2387.866016,204.8092982,FALSE
veh351,985.1799024,3007.119086,193.4303846,FALSE
veh352,16.10055973,749.100806,8.942985759,FALSE
veh353,89.94978108,5.226562329,354.4843272,FALSE
veh354,235.0341506,1631.344854,206.4767227,FALSE
veh355,21.23736452,777.1427714,10.75160299,FALSE
veh356,86.99185089,26.93304676,350.2140287,FALSE
veh357,222.0180991,1605.212111,206.4767227,FALSE
veh358,501.4246108,2001.437684,42.09054888,FALSE
veh359,26.5580688,805.16345,10.75160299,FALSE
veh360,83.21000673,48.85959642,350.2140287,FALSE
veh361,210.0610068,1578.625762,203.7903744,FALSE
veh362,31.82149931,832.8654868,10.76656262,FALSE
veh363,79.47733651,70.50104317,350.2140287,FALSE
veh364,717.0375306,2288.188142,203.9203577,FALSE
veh365,957.1968802,2892.883501,194.0484949,FALSE
veh366,37.1336029,860.8009453,10.76683497,FALSE
veh367,75.74044634,92.15270574,350.1932857,FALSE
veh368,42.27201828,887.9806729,10.42456479,FALSE
veh369,71.98636072,113.8713686,350.1932857,FALSE
veh370,178.6995601,1499.02864,200.1462644,FALSE
veh371,568.9063396,2078.716223,38.57423475,FALSE
veh372,47.31958993,915.9120582,10.24355292,FALSE
veh373,64.13684723,135.9689279,347.7767597,FALSE
veh374,170.0468688,1471.527382,195.7841331,FALSE
